rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/is_line_search_success,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
,,,,,1100000,0.006008703727275133,0.00579505180940032,537,0.001,1.0,25.422523165494205,0.7093766033649445,306.4,235.56391273660557
390.0,6747,163,538,157.78641262000002,1101824,,,,,,,,,
390.0,6759,163,539,157.78641262000002,1103872,0.006338586565107107,0.006810307968407869,538,0.001,1.0,118.54340636730194,0.8496932685375214,,
420.14,6769,163,540,146.24098851000002,1105920,0.00707763759419322,0.006597575265914202,539,0.001,1.0,3.904376706853509,0.8380861431360245,,
420.14,6780,163,541,146.24098851000002,1107968,0.007749396841973066,0.015566408634185791,540,0.001,1.0,64.37562752366065,0.8595864623785019,,
394.09,6788,163,542,157.58480856999998,1110016,0.009747067466378212,0.029188431799411774,541,0.001,1.0,0.6865075677633286,0.4937351942062378,,
370.61,6799,163,543,159.52618742,1112064,0.006993444170802832,0.010180674493312836,542,0.001,1.0,83.31262566447258,0.9361437186598778,,
395.0,6808,163,544,154.00702926999998,1114112,0.005751472432166338,0.01505213975906372,543,0.001,1.0,10.392347821593285,0.98656817805022,,
394.66,6816,163,545,156.57756589000002,1116160,0.006119962781667709,0.009651685133576393,544,0.001,1.0,150.40967915058135,0.9104097634553909,,
415.48,6826,163,546,156.52889388999998,1118208,0.0071607246063649654,0.016110526397824287,545,0.001,1.0,73.2228529214859,0.8357194662094116,,
407.26,6833,163,547,155.27839279,1120256,0.007480970583856106,0.00774814048781991,546,0.001,1.0,46.89178152084351,0.8062879294157028,,
407.26,6843,163,548,155.27839279,1122304,0.003970822785049677,0.007997818291187286,547,0.001,1.0,140.52816293239593,0.8279009014368057,,
435.19,6853,164,549,147.1456699,1124352,0.009679539129137993,0.01591804437339306,548,0.001,1.0,0.6964049708098173,0.937457799911499,,
413.29,6866,164,550,157.24236951000003,1126400,0.0020238382276147604,0.006359130144119263,549,0.001,1.0,146.23645668029786,0.8779691904783249,,
413.29,6881,163,551,157.24236951000003,1128448,0.007454235106706619,0.009104873053729534,550,0.001,1.0,98.56946337223053,0.9115383550524712,,
402.21,6891,164,552,150.07453592,1130496,0.006699687801301479,0.010971148498356342,551,0.001,1.0,0.6886814411729574,0.7577928155660629,,
