rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.05,9196,100.81697619999998,140,873.26,2712,1295434,311358,0.0001,0.38309574127197266,,
0.05,,,,,,1300000,312499,0.0001,8.995109558105469,2699.6,-387.6572870614676
0.05,9369,81.59968051,139,919.97,2716,1302902,313225,0.0001,0.4766632616519928,,
0.05,9411,71.34558283999999,139,959.51,2720,1309166,314791,0.0001,0.39133015275001526,,
0.05,9432,61.0901744,139,979.37,2724,1313273,315818,0.0001,1.4577302932739258,,
0.05,9448,61.44422552000001,139,981.43,2728,1316161,316540,0.0001,0.9802625775337219,,
0.05,9459,60.46693793,139,987.85,2732,1318569,317142,0.0001,3.404900312423706,,
0.05,9471,61.38586705000001,139,987.52,2736,1321141,317785,0.0001,0.37364816665649414,,
0.05,9504,54.828694460000015,139,1002.89,2740,1326004,319000,0.0001,1.496612787246704,,
0.05,9523,52.62671751,139,999.48,2744,1329521,319880,0.0001,0.3265027105808258,,
0.05,9581,38.46596089,139,1044.58,2748,1336145,321536,0.0001,0.4102831780910492,,
0.05,9629,28.43220786000001,139,1088.01,2752,1342766,323191,0.0001,1.2139760255813599,,
0.05,9669,21.94721178000001,139,1116.75,2756,1348701,324675,0.0001,1.2116312980651855,,
0.05,9685,33.96608281,139,1076.06,2760,1351603,325400,0.0001,0.3814173936843872,,
0.05,9706,31.80939371,139,1088.04,2764,1354859,326214,0.0001,0.3968505263328552,,
0.05,9720,36.796975599999996,139,1067.05,2768,1357784,326945,0.0001,0.3941619396209717,,
0.05,9741,38.43527856,139,1062.13,2772,1361323,327830,0.0001,0.3277546763420105,,
0.05,9795,41.194171839999996,139,1066.27,2776,1367733,329433,0.0001,1.9001333713531494,,
0.05,9816,45.64183467,139,1068.97,2780,1371056,330263,0.0001,0.5001242160797119,,
0.05,9837,44.64323519,139,1077.44,2784,1374715,331178,0.0001,1.2203328609466553,,
0.05,9862,41.61751698999999,139,1088.84,2788,1378613,332153,0.0001,0.21600425243377686,,
0.05,9880,43.98805358,139,1081.33,2792,1382295,333073,0.0001,0.4685918986797333,,
0.05,9893,44.214410660000006,139,1082.46,2796,1384745,333686,0.0001,0.470506489276886,,
0.05,9957,39.937175509999996,139,1114.24,2800,1391480,335369,0.0001,1.9273335933685303,,
0.05,9972,45.31254708,139,1112.87,2804,1394367,336091,0.0001,2.759439468383789,,
0.05,9995,55.20031950000001,139,1093.87,2808,1398126,337031,0.0001,0.2783440053462982,,
0.05,,,,,,1400000,337499,0.0001,0.11715157330036163,1155.6,83.32016915999921
0.05,10037,66.97029896000001,139,1050.62,2812,1400496,337623,0.0001,0.4065207540988922,,
0.05,10057,84.51123531000002,139,1010.28,2816,1403930,338482,0.0001,0.2501853406429291,,
0.05,10086,83.75039536000003,139,999.74,2820,1409140,339784,0.0001,6.904101848602295,,
0.05,10125,86.95858859000002,139,1011.91,2824,1414464,341115,0.0001,1.181415319442749,,
0.05,10149,84.94892261000001,139,1020.48,2828,1418209,342052,0.0001,0.14199069142341614,,
0.05,10170,84.43887455,139,1032.23,2832,1421792,342947,0.0001,1.8010047674179077,,
0.05,10189,81.84179599,139,1039.68,2836,1425109,343777,0.0001,0.37453770637512207,,
0.05,10206,88.47082208,139,1021.32,2840,1428136,344533,0.0001,2.3579554557800293,,
0.05,10216,92.30244396999997,140,1007.62,2844,1430283,345070,0.0001,1.4497743844985962,,
0.05,10241,98.96404810000001,140,980.97,2848,1434242,346060,0.0001,0.5457954406738281,,
0.05,10259,105.07446861999999,140,951.9,2852,1437956,346988,0.0001,0.770871639251709,,
0.05,10321,106.02508191999999,139,953.53,2856,1444054,348513,0.0001,0.7930263876914978,,
0.05,10369,102.19651549000002,139,979.14,2860,1449517,349879,0.0001,0.42855578660964966,,
0.05,10379,102.68062243000003,139,964.72,2864,1451331,350332,0.0001,1.6032967567443848,,
0.05,10454,91.80908038,139,1008.44,2868,1458628,352156,0.0001,0.4867989420890808,,
0.05,10544,79.17215822,139,1064.73,2872,1467796,354448,0.0001,0.40825995802879333,,
0.05,10635,72.86898986,138,1087.68,2876,1476501,356625,0.0001,0.705601692199707,,
0.05,10747,55.89915535,138,1146.43,2880,1485699,358924,0.0001,0.220821812748909,,
0.05,10821,43.49714155000001,138,1194.76,2884,1494191,361047,0.0001,1.4858877658843994,,
0.05,,,,,,1500000,362499,0.0001,0.7422378659248352,2314.0,-279.4209040762341
0.05,11020,20.491628450000004,136,1303.13,2888,1508926,364731,0.0001,4.286785125732422,,
0.05,11127,5.748275369999996,136,1360.87,2892,1518382,367095,0.0001,1.7100919485092163,,
0.05,11163,-0.7338215499999996,136,1385.28,2896,1523273,368318,0.0001,0.9919119477272034,,
0.05,11242,-7.135698749999998,136,1403.67,2900,1531847,370461,0.0001,0.6980526447296143,,
0.05,11362,-28.76021611,135,1488.93,2904,1543260,373314,0.0001,0.24856536090373993,,
0.05,11431,-35.84201690999999,135,1520.26,2908,1550152,375037,0.0001,2.8919098377227783,,
0.05,11539,-53.34226442,135,1599.47,2912,1560443,377610,0.0001,0.3229273855686188,,
0.05,11635,-68.65005689,134,1658.88,2916,1569818,379954,0.0001,2.297715663909912,,
0.05,11732,-82.4265946,134,1726.78,2920,1581818,382954,0.0001,0.7636276483535767,,
0.05,11825,-93.58094817,134,1767.35,2924,1591199,385299,0.0001,0.29140952229499817,,
0.05,,,,,,1600000,387499,0.0001,0.3539777398109436,1778.8,-15.032201774406861
0.05,12012,-111.92400652,133,1847.91,2928,1603000,388249,0.0001,0.2694699168205261,,
0.05,12088,-118.22922181000001,133,1880.65,2932,1609857,389964,0.0001,0.24831034243106842,,
