time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
1480,390471,263,1160,398.76,12.343969170000001,0.05,0.0001,0.43623191118240356,85117,,
1483,392209,264,1164,403.44,8.941027280000002,0.05,0.0001,1.2643011808395386,85552,,
1486,393563,264,1168,403.18,7.142700550000002,0.05,0.0001,0.2753177583217621,85890,,
1491,395682,265,1172,409.75,12.869752490000002,0.05,0.0001,0.9453893303871155,86420,,
1494,397391,265,1176,411.13,19.254813979999998,0.05,0.0001,0.39948025345802307,86847,,
1497,398738,266,1180,405.78,15.73975899,0.05,0.0001,0.4760918617248535,87184,,
,400000,,,,,0.05,0.0001,1.0114063024520874,87499,29.07441440381865,417.6
1512,400441,264,1184,406.04,20.2173128,0.05,0.0001,3.496951103210449,87610,,
1514,401660,265,1188,402.4,18.31543449,0.05,0.0001,0.838934063911438,87914,,
1516,403122,265,1192,403.75,24.3179708,0.05,0.0001,3.571042776107788,88280,,
1520,404965,266,1196,400.33,19.915979290000003,0.05,0.0001,0.40547361969947815,88741,,
1522,406168,266,1200,400.27,22.411721220000008,0.05,0.0001,0.5661569237709045,89041,,
1527,407638,266,1204,397.89,21.365799829999997,0.05,0.0001,0.33117052912712097,89409,,
1530,408979,267,1208,391.49,22.32480753,0.05,0.0001,1.4534231424331665,89744,,
1535,410536,267,1212,394.96,26.06129217,0.05,0.0001,0.5157506465911865,90133,,
1537,411483,267,1216,388.96,26.680750960000005,0.05,0.0001,1.2640299797058105,90370,,
1539,412685,268,1220,387.3,26.996138599999995,0.05,0.0001,3.0088839530944824,90671,,
1541,413994,268,1224,380.58,20.72619662,0.05,0.0001,0.48283737897872925,90998,,
1543,415235,268,1228,377.55,17.558622819999993,0.05,0.0001,0.4918663501739502,91308,,
1545,416424,269,1232,374.13,13.161105189999999,0.05,0.0001,0.29269087314605713,91605,,
1548,418187,270,1236,376.96,9.173945999999999,0.05,0.0001,0.2463567703962326,92046,,
1550,419353,270,1240,372.44,3.7916802299999994,0.05,0.0001,0.21395261585712433,92338,,
1551,420379,270,1244,365.21,1.5536816599999992,0.05,0.0001,0.8562442660331726,92594,,
1554,421645,271,1248,364.95,-1.5484494999999998,0.05,0.0001,0.4332309663295746,92911,,
